3,1112233,in
2,1114153,in
3,1112233,out
1,1111557,in
1,1111557,out
11,1110477,in
8,1110133,in
8,1110133,out
18,1111481,in
18,1111481,out
7,1110477,in
7,1110477,out
9,1111015,in
9,1111015,out
10,1111147,in
10,1111147,out
14,1111624,in
14,1111624,out
5,1111147,in
1,1112233,in
1,1112233,out
5,1112233,in
5,1112233,out
10,1112233,in
21,1112233,in
2,1112690,in
2,1112690,out
3,1112819,in
3,1112819,out
1,1114845,in
1,1114845,out
8,1112692,in
8,1112692,out
2,1114153,out
1,1116556,in
1,1116556,out
1,1117942,in
1,1117942,out
17,1112564,in
17,1112564,out
6,1113402,in
6,1113402,out
3,1114630,in
3,1114630,out
2,1116556,in
2,1116556,out
10,1113402,in
10,1113402,out
2,1118305,in
2,1118305,out
13,1113202,in
13,1113202,out
4,1115563,in
4,1115563,out
20,1112912,in
20,1112912,out
12,1113740,in
12,1113740,out
3,1118960,in
3,1118960,out
3,1119303,in
3,1119303,out
20,1113402,in
20,1113402,out
8,1115221,in
7,1115845,in
7,1115845,out
5,1117424,in
5,1117424,out
7,1116002,in
7,1116002,out
22,1113435,in
22,1113435,out
23,1113397,in
23,1113397,out
10,1114930,in
10,1114930,out
7,1116276,in
7,1116276,out
4,1119637,in
4,1119637,out
8,1116002,in
8,1116002,out
18,1113948,in
18,1113948,out
13,1114845,out
5,1119390,in
5,1119390,out
7,1117424,in
7,1117424,out
6,1118305,in
6,1118305,out
14,1114845,in
14,1114845,out
5,1119707,in
5,1119707,out
14,1115092,in
14,1115092,out
10,1116298,in
10,1116298,out
9,1116804,in
9,1116804,out
14,1115221,out
13,1115462,in
13,1115462,out
14,1115449,in
14,1115449,out
20,1114526,in
20,1114526,out
20,1115006,out
21,1115376,in
21,1115376,out
24,1115006,in
24,1115006,out
14,1117097,out
14,1117105,out
12,1117942,in
12,1117942,in
12,1117942,out
12,1117942,out
24,1115221,in
24,1115221,out
18,1116556,in
18,1116556,out
20,1116466,in
20,1116466,out
13,1119090,in
13,1119090,out
12,1119707,in
12,1119707,out
14,1119265,in
14,1119265,out
14,1119555,in
14,1119555,out
14,1119707,out
15,1119555,in
15,1119555,out
22,1117519,in
22,1117519,out
21,1119098,in
21,1119098,out
